  0 ,  0.004063 
  1 ,  0.011819 
  2 ,  0.004440 
  3 ,  0.001605 
  4 ,  0.000848 
  5 ,  0.000524 
  6 ,  0.000217 
  7 ,  0.000083 
  8 ,  0.000025 
  9 ,  0.000003 
  10 ,  0.000000 
  11 ,  0.000000 
  12 ,  0.000000 
  13 ,  0.000000 
  14 ,  0.000000 
  15 ,  0.000000 
  16 ,  0.000000 
  17 ,  0.000000 
  18 ,  0.000000 
  19 ,  0.000000 
  20 ,  0.000000 
  21 ,  0.000000 
  22 ,  0.000000 
  23 ,  0.000000 
  24 ,  0.000001 
  25 ,  0.000001 
  26 ,  0.000002 
  27 ,  0.000004 
  28 ,  0.000009 
  29 ,  0.000044 
