  0 ,  0.004458 
  1 ,  0.018175 
  2 ,  0.012417 
  3 ,  0.015176 
  4 ,  0.015870 
  5 ,  0.011774 
  6 ,  0.017473 
  7 ,  0.013946 
  8 ,  0.014121 
  9 ,  0.017370 
  10 ,  0.012676 
  11 ,  0.015009 
  12 ,  0.015793 
  13 ,  0.011826 
  14 ,  0.017460 
  15 ,  0.013950 
  16 ,  0.014120 
  17 ,  0.017370 
  18 ,  0.012676 
  19 ,  0.015009 
  20 ,  0.015793 
  21 ,  0.011826 
  22 ,  0.017456 
  23 ,  0.013892 
  24 ,  0.014085 
  25 ,  0.017797 
  26 ,  0.012803 
  27 ,  0.014925 
  28 ,  0.013751 
  29 ,  0.031483 
